Model,CPU,Memory,GPU,Graphic Driver,Power Mode,comment,Game Title,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Black Myth: Wukong,Counter-Strike 2,Counter-Strike 2 (run2),Counter-Strike 2,Counter-Strike 2 (run2),Counter-Strike 2,Counter-Strike 2 (run2),Counter-Strike 2,Counter-Strike 2 (run2),Counter-Strike 2,Counter-Strike 2 (run2),Counter-Strike 2,Counter-Strike 2 (run2),Counter-Strike 2,Counter-Strike 2 (run2),Counter-Strike 2,Counter-Strike 2 (run2),Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Shadow of the Tomb Raider,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077,Cyberpunk 2077
,,,,,,,Resolution,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD,QHD
,,,,,,,Super Resolution,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss balanced,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss performance,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss quality,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance,dlss ultra performance
,,,,,,,Frame Generation,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,2x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,3x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,4x,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x2,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x3,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4,dlss x4
,,,,,,,Ray Tracing,OFF,OFF,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,low,low,low,medium,medium,medium,veryhigh,veryhigh,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,low,low,low,low,low,medium,medium,medium,medium,medium,veryhigh,veryhigh,veryhigh,veryhigh,OFF,OFF,OFF,low,low,low,medium,medium,medium,veryhigh,veryhigh,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
,,,,,,,Preset,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,high,low,medium,high,low,medium,high,low,medium,high,medium,high,low,medium,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,high,low,medium,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,high,low,medium,cinematic,high,low,medium,veryhigh,cinematic,high,low,medium,veryhigh,cinematic,high,medium,veryhigh,high,low,medium,high,low,medium,high,low,medium,high,medium,high,high,low,low,medium,medium,very high,very high,high,high,low,low,medium,medium,very high,very high,high,highest,low,lowest,medium,high,highest,low,lowest,medium,high,highest,low,lowest,medium,high,highest,low,lowest,medium,high,highest,low,lowest,medium,high,highest,low,lowest,medium,high,highest,low,lowest,medium,high,highest,low,lowest,medium,high,low,medium,ray tracing low,ray tracing medium,ray tracing overdrive,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing overdrive,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing overdrive,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing overdrive,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing overdrive,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra,high,low,medium,ray tracing low,ray tracing medium,ray tracing ultra,steam deck,ultra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
